2025-01-14 01:30:16,800 | add_beam | WARNING | 59 | Error in adding beam 5784061
2025-01-14 01:30:17,058 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5760864, 5769685, 5769802]
2025-01-14 01:30:17,062 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5760864, 5769685, 5769802]
2025-01-14 01:30:17,066 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5760864, 5769685, 5769802]
2025-01-14 01:30:17,069 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5760864, 5769685, 5769802]
2025-01-14 01:30:17,074 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5760864, 5769685, 5769802]
2025-01-14 01:30:17,078 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5760864, 5769685, 5769802]
2025-01-14 01:30:17,081 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5760864, 5769685, 5769802]
2025-01-14 01:30:17,085 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5760864, 5769685, 5769802]
2025-01-14 01:30:17,104 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771333, 5771361, 5771369]
2025-01-14 01:30:17,108 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771333, 5771361, 5771369]
2025-01-14 01:30:17,112 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771333, 5771361, 5771369]
2025-01-14 01:30:17,115 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771333, 5771361, 5771369]
2025-01-14 01:30:17,121 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771333, 5771361, 5771369]
2025-01-14 01:30:17,125 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771333, 5771361, 5771369]
2025-01-14 01:30:17,128 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771333, 5771361, 5771369]
2025-01-14 01:30:17,132 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771333, 5771361, 5771369]
2025-01-14 01:30:17,161 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771435, 5771463, 5771471]
2025-01-14 01:30:17,167 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771435, 5771463, 5771471]
2025-01-14 01:30:17,170 | add_non_beam | WARNING | 42 | Error in adding dummy beam of floor [5771435, 5771463, 5771471]
